OBEC|OKRSOK|P_ZAP|P_ZUC|UCAST|P_OOO|P_OOO_PCT|P_NOC|P_NOC_PCT|P_HL|P_HL_PCT
500011|1|808|580|71,78|569|98,10|10|1,72|576|99,31
500011|2|895|575|64,24|567|98,60|8|1,39|567|98,60
500011|3|841|539|64,09|537|99,62|2|0,37|538|99,81
500011|4|1128|609|53,98|599|98,35|10|1,64|601|98,68
500011|5|839|603|71,87|590|97,84|13|2,15|600|99,50
500011|6|2523|730|28,93|713|97,67|17|2,32|730|100,00
500011|7|493|387|78,49|382|98,70|5|1,29|385|99,48
500011|8|664|469|70,63|463|98,72|6|1,27|464|98,93
500011|9|684|462|67,54|451|97,61|11|2,38|459|99,35
500011|10|791|488|61,69|483|98,97|5|1,02|475|97,33
500011|11|977|651|66,63|636|97,69|15|2,30|643|98,77
500011|12|866|603|69,63|594|98,50|9|1,49|588|97,51
500011|13|833|559|67,10|541|96,77|8|1,43|549|98,21
500011|14|909|650|71,50|645|99,23|5|0,76|646|99,38
500011|15|801|584|72,90|576|98,63|8|1,36|584|100,00
500011|16|732|510|69,67|503|98,62|7|1,37|501|98,23
500011|17|724|554|76,51|540|97,47|14|2,52|550|99,27
500011|18|812|634|78,07|614|96,84|20|3,15|634|100,00
500011|19|1070|755|70,56|743|98,41|12|1,58|743|98,41
500011|20|996|708|71,08|692|97,74|10|1,41|702|99,15
500011|21|984|792|80,48|772|97,47|20|2,52|785|99,11
500011|22|587|420|71,55|411|97,85|9|2,14|420|100,00
500011|23|666|508|76,27|506|99,60|2|0,39|507|99,80
500011|24|854|644|75,40|634|98,44|10|1,55|641|99,53
500011|25|748|481|64,30|470|97,71|11|2,28|476|98,96
500011|26|972|619|63,68|609|98,38|10|1,61|615|99,35
500011|27|956|664|69,45|657|98,94|7|1,05|661|99,54
500011|28|934|635|67,98|622|97,95|13|2,04|626|98,58
500011|29|1222|893|73,07|878|98,32|15|1,67|889|99,55
500011|30|633|422|66,66|417|98,81|5|1,18|421|99,76
500011|31|768|489|63,67|483|98,77|6|1,22|484|98,97
500011|32|673|490|72,80|480|97,95|9|1,83|485|98,97
500011|33|979|685|69,96|678|98,97|7|1,02|678|98,97
500011|34|1089|808|74,19|799|98,88|9|1,11|804|99,50
500011|35|811|552|68,06|544|98,55|8|1,44|547|99,09
500011|36|753|505|67,06|496|98,21|9|1,78|497|98,41
500011|37|1122|831|74,06|824|99,15|7|0,84|822|98,91
500011|38|785|559|71,21|552|98,74|7|1,25|556|99,46
500011|39|712|521|73,17|512|98,27|9|1,72|518|99,42
500011|40|932|631|67,70|624|98,89|7|1,10|624|98,89
500011|41|700|483|69,00|472|97,72|11|2,27|480|99,37
500011|42|670|449|67,01|441|98,21|8|1,78|444|98,88
500011|43|1586|1046|65,95|1022|97,70|24|2,29|1038|99,23
500011|44|1498|987|65,88|972|98,48|15|1,51|959|97,16
500011|45|1220|806|66,06|792|98,26|14|1,73|798|99,00
500011|46|785|609|77,57|601|98,68|8|1,31|604|99,17
500011|47|754|603|79,97|594|98,50|9|1,49|599|99,33
500011|48|481|320|66,52|314|98,12|6|1,87|316|98,75
500011|49|1549|965|62,29|949|98,34|16|1,65|954|98,86
500011|50|1272|995|78,22|974|97,88|21|2,11|982|98,69
500011|51|1076|862|80,11|817|94,77|27|3,13|833|96,63
500011|52|954|777|81,44|768|98,84|9|1,15|772|99,35
500011|53|978|769|78,62|745|96,87|22|2,86|762|99,08
500011|54|1012|764|75,49|749|98,03|15|1,96|759|99,34
500011|55|1000|806|80,60|786|97,51|20|2,48|785|97,39
500011|56|1636|1209|73,89|1202|99,42|7|0,57|1195|98,84
500011|57|773|578|74,77|572|98,96|6|1,03|571|98,78
