KRAJ|NKRAJ|OBVOD|NOBVOD|OKRES|NOKRES|OBEC|NOBEC|TYP_OBCE|P_ALL_OKRSOK
1|Bratislavský kraj|101|Bratislava|101|Bratislava I|528595|Bratislava - Staré Mesto|2|34
1|Bratislavský kraj|101|Bratislava|102|Bratislava II|529311|Bratislava - Podunajské Biskupice|2|19
1|Bratislavský kraj|101|Bratislava|102|Bratislava II|529320|Bratislava - Ružinov|2|70
1|Bratislavský kraj|101|Bratislava|102|Bratislava II|529338|Bratislava - Vrakuňa|2|19
1|Bratislavský kraj|101|Bratislava|103|Bratislava III|529346|Bratislava - Nové Mesto|2|45
1|Bratislavský kraj|101|Bratislava|103|Bratislava III|529354|Bratislava - Rača|2|18
1|Bratislavský kraj|101|Bratislava|103|Bratislava III|529362|Bratislava - Vajnory|2|5
1|Bratislavský kraj|101|Bratislava|104|Bratislava IV|529371|Bratislava - Devínska Nová Ves|2|14
1|Bratislavský kraj|101|Bratislava|104|Bratislava IV|529389|Bratislava - Dúbravka|2|32
1|Bratislavský kraj|101|Bratislava|104|Bratislava IV|529397|Bratislava - Karlova Ves|2|30
1|Bratislavský kraj|101|Bratislava|104|Bratislava IV|529401|Bratislava - Devín|2|2
1|Bratislavský kraj|101|Bratislava|104|Bratislava IV|529419|Bratislava - Lamač|2|6
1|Bratislavský kraj|101|Bratislava|104|Bratislava IV|529427|Bratislava - Záhorská Bystrica|2|4
1|Bratislavský kraj|101|Bratislava|105|Bratislava V|529435|Bratislava - Čunovo|2|2
1|Bratislavský kraj|101|Bratislava|105|Bratislava V|529443|Bratislava - Jarovce|2|2
1|Bratislavský kraj|101|Bratislava|105|Bratislava V|529460|Bratislava - Petržalka|2|96
1|Bratislavský kraj|101|Bratislava|105|Bratislava V|529494|Bratislava - Rusovce|2|4
1|Bratislavský kraj|102|Malacky|106|Malacky|500267|Záhorie (vojenský obvod)|3|1
1|Bratislavský kraj|102|Malacky|106|Malacky|504556|Malé Leváre|3|1
1|Bratislavský kraj|102|Malacky|106|Malacky|504629|Plavecké Podhradie|3|1
1|Bratislavský kraj|102|Malacky|106|Malacky|504637|Plavecký Mikuláš|3|1
1|Bratislavský kraj|102|Malacky|106|Malacky|504769|Rohožník|3|3
1|Bratislavský kraj|102|Malacky|106|Malacky|504858|Sološnica|3|1
1|Bratislavský kraj|102|Malacky|106|Malacky|504874|Studienka|3|1
1|Bratislavský kraj|102|Malacky|106|Malacky|504947|Veľké Leváre|3|3
1|Bratislavský kraj|102|Malacky|106|Malacky|504980|Závod|3|2
1|Bratislavský kraj|102|Malacky|106|Malacky|507831|Borinka|3|1
1|Bratislavský kraj|102|Malacky|106|Malacky|507890|Gajary|3|2
1|Bratislavský kraj|102|Malacky|106|Malacky|507954|Jablonové|3|1
1|Bratislavský kraj|102|Malacky|106|Malacky|507962|Jakubov|3|1
1|Bratislavský kraj|102|Malacky|106|Malacky|508012|Kostolište|3|1
1|Bratislavský kraj|102|Malacky|106|Malacky|508021|Kuchyňa|3|1
1|Bratislavský kraj|102|Malacky|106|Malacky|508039|Láb|3|1
1|Bratislavský kraj|102|Malacky|106|Malacky|508055|Lozorno|3|2
1|Bratislavský kraj|102|Malacky|106|Malacky|508063|Malacky|1|12
1|Bratislavský kraj|102|Malacky|106|Malacky|508080|Marianka|3|2
1|Bratislavský kraj|102|Malacky|106|Malacky|508161|Pernek|3|1
1|Bratislavský kraj|102|Malacky|106|Malacky|508195|Plavecký Štvrtok|3|2
1|Bratislavský kraj|102|Malacky|106|Malacky|508233|Stupava|1|8
1|Bratislavský kraj|102|Malacky|106|Malacky|508241|Suchohrad|3|1
1|Bratislavský kraj|102|Malacky|106|Malacky|508349|Vysoká pri Morave|3|2
1|Bratislavský kraj|102|Malacky|106|Malacky|508365|Záhorská Ves|3|1
1|Bratislavský kraj|102|Malacky|106|Malacky|508381|Zohor|3|3
1|Bratislavský kraj|103|Pezinok|107|Pezinok|507806|Báhoň|3|1
1|Bratislavský kraj|103|Pezinok|107|Pezinok|507849|Budmerice|3|2
1|Bratislavský kraj|103|Pezinok|107|Pezinok|507857|Častá|3|2
1|Bratislavský kraj|103|Pezinok|107|Pezinok|507873|Doľany|3|1
1|Bratislavský kraj|103|Pezinok|107|Pezinok|507881|Dubová|3|1
1|Bratislavský kraj|103|Pezinok|107|Pezinok|507946|Jablonec|3|1
1|Bratislavský kraj|103|Pezinok|107|Pezinok|507989|Svätý Jur|1|5
1|Bratislavský kraj|103|Pezinok|107|Pezinok|508047|Limbach|3|2
1|Bratislavský kraj|103|Pezinok|107|Pezinok|508101|Modra|1|7
1|Bratislavský kraj|103|Pezinok|107|Pezinok|508179|Pezinok|1|18
1|Bratislavský kraj|103|Pezinok|107|Pezinok|508187|Píla|3|1
1|Bratislavský kraj|103|Pezinok|107|Pezinok|508225|Slovenský Grob|3|3
1|Bratislavský kraj|103|Pezinok|107|Pezinok|508250|Šenkvice|3|4
1|Bratislavský kraj|103|Pezinok|107|Pezinok|508268|Štefanová|3|1
1|Bratislavský kraj|103|Pezinok|107|Pezinok|508306|Viničné|3|2
1|Bratislavský kraj|103|Pezinok|107|Pezinok|508314|Vinosady|3|1
1|Bratislavský kraj|103|Pezinok|107|Pezinok|508322|Vištuk|3|1
1|Bratislavský kraj|104|Senec|108|Senec|503681|Boldog|3|1
1|Bratislavský kraj|104|Senec|108|Senec|503797|Hrubá Borša|3|1
1|Bratislavský kraj|104|Senec|108|Senec|503801|Hrubý Šúr|3|1
1|Bratislavský kraj|104|Senec|108|Senec|503819|Hurbanova Ves|3|1
1|Bratislavský kraj|104|Senec|108|Senec|503851|Kostolná pri Dunaji|3|1
1|Bratislavský kraj|104|Senec|108|Senec|503894|Kráľová pri Senci|3|2
1|Bratislavský kraj|104|Senec|108|Senec|503983|Reca|3|1
1|Bratislavský kraj|104|Senec|108|Senec|507814|Bernolákovo|3|6
1|Bratislavský kraj|104|Senec|108|Senec|507822|Blatné|3|1
1|Bratislavský kraj|104|Senec|108|Senec|507865|Čataj|3|1
1|Bratislavský kraj|104|Senec|108|Senec|507903|Hamuliakovo|3|2
1|Bratislavský kraj|104|Senec|108|Senec|507911|Chorvátsky Grob|3|4
1|Bratislavský kraj|104|Senec|108|Senec|507938|Ivanka pri Dunaji|3|4
1|Bratislavský kraj|104|Senec|108|Senec|507997|Kalinkovo|3|1
1|Bratislavský kraj|104|Senec|108|Senec|508071|Malinovo|3|2
1|Bratislavský kraj|104|Senec|108|Senec|508098|Miloslavov|3|3
1|Bratislavský kraj|104|Senec|108|Senec|508110|Most pri Bratislave|3|2
1|Bratislavský kraj|104|Senec|108|Senec|508136|Nová Dedinka|3|2
1|Bratislavský kraj|104|Senec|108|Senec|508209|Rovinka|3|3
1|Bratislavský kraj|104|Senec|108|Senec|508217|Senec|1|16
1|Bratislavský kraj|104|Senec|108|Senec|508276|Tomášov|3|2
1|Bratislavský kraj|104|Senec|108|Senec|508284|Tureň|3|1
1|Bratislavský kraj|104|Senec|108|Senec|508292|Veľký Biel|3|2
1|Bratislavský kraj|104|Senec|108|Senec|508331|Vlky|3|1
1|Bratislavský kraj|104|Senec|108|Senec|545333|Dunajská Lužná|3|5
1|Bratislavský kraj|104|Senec|108|Senec|555487|Igram|3|1
1|Bratislavský kraj|104|Senec|108|Senec|555495|Kaplna|3|1
1|Bratislavský kraj|104|Senec|108|Senec|555509|Zálesie|3|2
1|Bratislavský kraj|104|Senec|108|Senec|582549|Nový Svet|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501433|Dunajská Streda|1|18
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501441|Báč|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501450|Baka|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501468|Baloň|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501484|Blahová|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501492|Blatná na Ostrove|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501506|Boheľov|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501514|Čakany|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501522|Veľký Meder|1|8
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501531|Čiližská Radvaň|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501549|Dobrohošť|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501557|Dolný Bar|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501573|Gabčíkovo|1|4
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501581|Holice|3|2
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501590|Horná Potôň|3|3
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501603|Horný Bar|3|2
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501611|Dolný Štál|3|2
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501620|Hubice|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501638|Hviezdoslavov|3|2
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501654|Jahodná|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501662|Janíky|3|2
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501671|Jurová|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501689|Kľúčovec|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501697|Kostolné Kračany|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501701|Kráľovičove Kračany|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501719|Kútniky|3|2
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501727|Kvetoslavov|3|2
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501735|Lehnice|3|2
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501743|Lúč na Ostrove|3|2
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501760|Medveďov|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501778|Mierovo|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501786|Michal na Ostrove|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501808|Nový Život|3|3
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501816|Ohrady|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501824|Okoč|3|3
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501832|Oľdza|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501859|Orechová Potôň|3|2
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501867|Padáň|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501875|Sap|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501883|Pataš|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501891|Rohovce|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501905|Šamorín|1|9
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501913|Štvrtok na Ostrove|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501921|Topoľníky|3|3
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501930|Ňárad|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501956|Trnávka|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501964|Trstená na Ostrove|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501972|Veľká Paka|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501981|Veľké Blahovo|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|501999|Vojka nad Dunajom|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|502006|Vrakúň|3|2
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|502014|Vydrany|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|502022|Zlaté Klasy|3|2
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|503461|Bodíky|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|555517|Bellova Ves|3|1
2|Trnavský kraj|201|Dunajská Streda|201|Dunajská Streda|555541|Dunajský Klátov|3|1
